Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
05/29/2021,89,6,24,17,16,17,15,15,7,1,1,0,42,47,0,24,1,35,7,5,17,0,0,0,1,1,1,1,2,0,2,4,0,0,1,4,1,0,0,1,2,2,1,6,6,3,3,0,15,9,0,4,0,14,5,0,1
03/22/2021,537,1,30,58,160,111,80,78,33,13,4,0,268,269,0,122,25,119,154,26,91,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,6,5,4,6,1,3,0,14,16,0,6,1,15,7,1,0
06/05/2020,339,17,42,33,76,70,51,51,30,18,10,0,172,166,1,180,5,51,29,12,62,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,6,9,3,0,20,22,0,17,0,15,4,2,4
07/05/2020,89,3,17,6,29,19,14,11,8,2,0,0,53,35,1,24,0,20,19,7,19,0,0,0,1,1,1,0,0,0,0,3,0,1,0,1,1,0,0,0,2,2,4,3,2,1,3,0,6,11,0,6,1,6,4,0,0
07/19/2020,100,2,22,14,27,23,9,14,6,6,1,0,53,46,1,26,2,32,25,3,12,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,1,2,5,5,3,2,1,0,13,9,0,1,0,17,3,0,1
06/06/2021,56,7,16,10,18,8,7,5,4,3,1,0,31,25,0,10,0,24,10,2,10,0,0,0,2,1,2,2,0,0,5,2,0,3,1,3,0,0,0,0,3,2,2,5,0,4,0,0,11,5,0,4,0,10,2,0,0
12/05/2020,1206,11,84,165,271,217,170,185,118,52,28,0,610,594,2,419,30,170,218,51,318,0,0,1,1,1,1,2,5,0,5,6,0,5,0,4,2,0,0,4,5,9,5,11,25,13,12,0,41,43,0,23,4,32,17,6,2
10/01/2020,364,4,26,50,123,69,41,49,15,15,2,0,176,187,1,149,6,28,94,24,63,0,0,0,0,2,1,1,0,0,1,3,0,2,1,1,0,0,0,1,3,4,2,3,7,4,2,0,14,12,0,10,1,8,2,0,5
03/31/2021,707,4,47,84,218,161,88,91,33,19,13,0,358,346,3,127,35,138,224,42,141,0,0,0,0,1,1,0,2,0,1,3,0,1,0,2,1,0,0,2,3,3,10,12,10,4,3,0,25,22,0,11,1,24,7,2,2
07/30/2021,332,2,18,50,99,65,46,45,13,11,3,0,153,179,0,61,5,78,99,10,79,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,3,1,1,4,5,1,3,0,6,12,0,3,1,7,5,0,2
