Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
15-Jul-2020,12,354423,0.142857142857143,4.03069616975035e-05,6,43782,0.142857142857143,0.000326291952987855,13,133314,0.428571428571429,0.000321475185330444,27,298108,0.285714285714286,9.58425422042634e-05,5,0,0
16-Jul-2020,12,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,13,133314,0.428571428571429,0.000321475185330444,27,298108,0.142857142857143,4.79212711021317e-05,5,0,0
17-Jul-2020,12,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,13,133314,0.285714285714286,0.000214316790220296,28,298108,0.142857142857143,4.79212711021317e-05,5,0,0
18-Jul-2020,12,354423,0.285714285714286,8.0613923395007e-05,7,43782,0.142857142857143,0.000326291952987855,14,133314,0.142857142857143,0.000107158395110148,28,298108,0.142857142857143,4.79212711021317e-05,5,0,0
19-Jul-2020,12,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,14,133314,0.142857142857143,0.000107158395110148,28,298108,0.285714285714286,9.58425422042634e-05,5,0,0
20-Jul-2020,12,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,14,133314,0.285714285714286,0.000214316790220296,28,298108,0.285714285714286,9.58425422042634e-05,5,0,0
21-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,14,133314,0.285714285714286,0.000214316790220296,28,298108,0.142857142857143,4.79212711021317e-05,5,0,0
22-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,14,133314,0.142857142857143,0.000107158395110148,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
23-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,15,133314,0.142857142857143,0.000107158395110148,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
24-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,15,133314,0.285714285714286,0.000214316790220296,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
25-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0,0,15,133314,0.428571428571429,0.000321475185330444,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
26-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,15,133314,0.428571428571429,0.000321475185330444,29,298108,0,0,5,0,0
27-Jul-2020,13,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,16,133314,0.285714285714286,0.000214316790220296,29,298108,0,0,5,0,0
28-Jul-2020,14,354423,0.142857142857143,4.03069616975035e-05,7,43782,0.142857142857143,0.000326291952987855,17,133314,0.285714285714286,0.000214316790220296,29,298108,0,0,5,0,0
29-Jul-2020,14,354423,0.142857142857143,4.03069616975035e-05,8,43782,0.285714285714286,0.000652583905975711,17,133314,0.285714285714286,0.000214316790220296,29,298108,0,0,5,0,0
30-Jul-2020,14,354423,0.142857142857143,4.03069616975035e-05,8,43782,0.285714285714286,0.000652583905975711,17,133314,0.285714285714286,0.000214316790220296,29,298108,0,0,5,0,0
31-Jul-2020,14,354423,0.142857142857143,4.03069616975035e-05,8,43782,0.285714285714286,0.000652583905975711,17,133314,0.142857142857143,0.000107158395110148,29,298108,0,0,5,0,0
01-Aug-2020,14,354423,0,0,9,43782,0.285714285714286,0.000652583905975711,17,133314,0,0,29,298108,0,0,5,0,0
02-Aug-2020,14,354423,0,0,9,43782,0.142857142857143,0.000326291952987855,17,133314,0,0,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
03-Aug-2020,14,354423,0,0,9,43782,0.142857142857143,0.000326291952987855,17,133314,0,0,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
04-Aug-2020,14,354423,0.142857142857143,4.03069616975035e-05,9,43782,0.142857142857143,0.000326291952987855,17,133314,0.142857142857143,0.000107158395110148,29,298108,0.142857142857143,4.79212711021317e-05,5,0,0
05-Aug-2020,14,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,17,133314,0.142857142857143,0.000107158395110148,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
06-Aug-2020,14,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,17,133314,0.285714285714286,0.000214316790220296,30,298108,0.142857142857143,4.79212711021317e-05,5,0,0
